name,url,rating,price,contact,via,CAP,comune
Bar Ristorante Il Piccolo Paese,https://www.tripadvisor.it/Restaurant_Review-g12875863-d12829963-Reviews-Bar_Ristorante_Il_Piccolo_Paese-Pedesina_Province_of_Sondrio_Lombardy.html,5.0,cibo economico,+390342690224,Via Nazionale 1319 ,23010, Pedesina
Bosco Gerolo Valtrebbia,https://www.tripadvisor.it/Restaurant_Review-g1466745-d2479890-Reviews-Bosco_Gerolo_Valtrebbia-Rivergaro_Province_of_Piacenza_Emilia_Romagna.html,3.5,cibo economico,+390523951079,Localita' Gerolo Niviano ,29029, Rivergaro
Nessi Città Alta,https://www.tripadvisor.it/Restaurant_Review-g187830-d2720565-Reviews-Pasticceria_Nessia_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,4.0,cibo economico,+39035247073,Via Gombito 34 ,24129, Bergamo
Il Circolino Città Alta,https://www.tripadvisor.it/Restaurant_Review-g187830-d1798985-Reviews-Il_Circolino_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035218568,Vicolo Sant'Agata 19 ,24129, Bergamo
Nonna Elisa,https://www.tripadvisor.it/Restaurant_Review-g2290297-d3155614-Reviews-Nonna_Elisa-Piantedo_Province_of_Sondrio_Lombardy.html,4.5,fascia media,+390342682046,Via San Giovanni Bosco 40/d ,23010, Piantedo
Trattoria Sant Ambroeus,https://www.tripadvisor.it/Restaurant_Review-g187830-d1108875-Reviews-Trattoria_Sant_Ambroeus_Bergamo_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+39035237494,Piazza Vecchia 2 Citta Alta ,24129, Bergamo
Polentone Citta Alta,https://www.tripadvisor.it/Restaurant_Review-g187830-d3732253-Reviews-Polentone_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,4.5,cibo economico,+393488046021,Piazza Mercato delle Scarpe 1 Città Alta ,24129, Bergamo
Malga Alta,https://www.tripadvisor.it/Restaurant_Review-g1787079-d12786439-Reviews-Malga_Alta-Pellizzano_Province_of_Trento_Trentino_Alto_Adige.html,3.5,fascia media,+390463902292,Localita Fazzon Il luogo e raggiungibile tramite una strada a percorrenza limitata con permesso dal comune di Pellizzano o in situ all'arrivo o a piedi tramite sentiero dal lago dei cerbiatti in 45/60 minuti ,38020, Pellizzano
Trento Alta,https://www.tripadvisor.it/Restaurant_Review-g12815965-d12700548-Reviews-Trento_Alta-Sardagna_Trento_Province_of_Trento_Trentino_Alto_Adige.html,4.5,cibo economico,+393756675420,Stada alla Funivia 15 ,38123, Sardagna Trento
la birreria di città alta,https://www.tripadvisor.it/Restaurant_Review-g187830-d2437241-Reviews-La_Birreria_di_Citta_Alta-Bergamo_Province_of_Bergamo_Lombardy.html,3.5,fascia media,+39035243661,via gombito 1/b ,24129, Bergamo
Alpin Lares,https://www.tripadvisor.it/Restaurant_Review-g1596429-d15687544-Reviews-Alpin_Lares-Gerola_Alta_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+393335415400,Località Pescegallo ,23010, Gerola Alta
Osteria Alta,https://www.tripadvisor.it/Restaurant_Review-g1480273-d3440918-Reviews-Osteria_Alta-Cuggiono_Province_of_Milan_Lombardy.html,4.0,fascia media,+3902974151,Piazza Castelletto 21 ,20012, Cuggiono
CRESTA ALTA BERGAMO,https://www.tripadvisor.it/Restaurant_Review-g187830-d11843894-Reviews-Cresta_Alta_Bergamo-Bergamo_Province_of_Bergamo_Lombardy.html,3.5,cibo economico,+393391144422,Via Volfango Amedeo Mozart 16 ,24126, Bergamo
Pineta,https://www.tripadvisor.it/Restaurant_Review-g1596429-d3648298-Reviews-Pineta-Gerola_Alta_Province_of_Sondrio_Lombardy.html,4.0,fascia media,+390342690180,Via Piana di Fenile 5 ,23010, Gerola Alta
Ristorante Pizzeria Miramonti,https://www.tripadvisor.it/Restaurant_Review-g794323-d3669112-Reviews-Bar_Ristorante_Pizzeria_Miramonti-Volta_Mantovana_Province_of_Mantua_Lombardy.html,4.0,fascia media,+39037683496,Piazza Garibaldi 1 ,46049, Volta Mantovana
Il Luogo di Aimo e Nadia,https://www.tripadvisor.it/Restaurant_Review-g187849-d696596-Reviews-Il_Luogo_di_Aimo_e_Nadia-Milan_Lombardy.html,4.5,cucina raffinata,+3902416886,Via Privata Raimondo Montecuccoli 6 ,20147, Milano
Bar Trattoria Pesca Sportiva Lago Amici delle Gerole,https://www.tripadvisor.it/Restaurant_Review-g6580027-d17425584-Reviews-Bar_Trattoria_Pesca_Sportiva_Lago_Amici_delle_Gerole-Borgosatollo_Province_of_B.html,5.0,fascia media,+393396534163,Via Gerole 1 ,25010, Borgosatollo
Trattoria La Curt,https://www.tripadvisor.it/Restaurant_Review-g2208908-d2386134-Reviews-Trattoria_La_Curt-Artogne_Province_of_Brescia_Lombardy.html,4.5,fascia media,+390364590694,Via Quattro Novembre 6 ,25040, Artogne
Trattoria Beati,https://www.tripadvisor.it/Restaurant_Review-g2208908-d2203376-Reviews-Trattoria_Beati-Artogne_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364591759,Via Venticinque Aprile 88 ,25040, Artogne
Le Frise,https://www.tripadvisor.it/Restaurant_Review-g2208908-d4339506-Reviews-Le_Frise-Artogne_Province_of_Brescia_Lombardy.html,4.5,fascia media,+393471570422,Via Plagne 12 ,25040, Artogne
Agriturismo Le Frise,https://www.tripadvisor.it/Restaurant_Review-g194702-d1140477-Reviews-Agriturismo_Le_Frise-Brescia_Province_of_Brescia_Lombardy.html,4.0,fascia media,+393471570422,Localita Rive dei Balti 12 Artogne,,Brescia
Ristorante Pizzeria La Fornace,https://www.tripadvisor.it/Restaurant_Review-g2208908-d13426665-Reviews-Ristorante_Pizzeria_La_Fornace-Artogne_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364590707,Via XXV Aprile 11 ,25040, Artogne
Buffalo Grill,https://www.tripadvisor.it/Restaurant_Review-g2337596-d2545616-Reviews-Buffalo_Grill-Entratico_Province_of_Bergamo_Lombardy.html,4.0,fascia media,+393389721210,Via Nazionale 4 bis ,24060, Entratico
Pizzeria Valgrande Montecampione,https://www.tripadvisor.it/Restaurant_Review-g1185616-d2328858-Reviews-Pizzeria_Valgrande_Montecampione-Montecampione_Artogne_Province_of_Brescia_Lomba.html,3.5,fascia media,+390364560515,Via Plan di Monte Campione 58 Sotto i portici del Condominio Valgrande ,25040, Montecampione Artogne
Ristorante Pizzeria La Marmotta,https://www.tripadvisor.it/Restaurant_Review-g1185616-d1420496-Reviews-Ristorante_Pizzeria_La_Marmotta-Montecampione_Artogne_Province_of_Brescia_Lombar.html,3.5,,+393478230638,Via Plan Di Montecampione 91 Le Baite,,Montecampione Artogne
La Piazzetta,https://www.tripadvisor.it/Restaurant_Review-g1185616-d3183746-Reviews-La_Piazzetta-Montecampione_Artogne_Province_of_Brescia_Lombardy.html,4.5,fascia media,+390364589162,Via Pradasole 68 ,25040, Montecampione Artogne
Ristorante Pub La Piazzetta Montecampione,https://www.tripadvisor.it/Restaurant_Review-g1185616-d8510465-Reviews-Ristorante_Pub_La_Piazzetta_Montecampione-Montecampione_Artogne_Province_of_Bres.html,4.0,fascia media,+390364589162,Condominio la Piazzetta 6 VIa Pradosole di Montecampione 68 ,25040, Montecampione Artogne
Ristorante Il Boccone,https://www.tripadvisor.it/Restaurant_Review-g2208908-d5988591-Reviews-Ristorante_Il_Boccone-Artogne_Province_of_Brescia_Lombardy.html,4.0,fascia media,+390364560440,Via Plan di Montecampione 24 terza piazza del condominio Valgrande ,25040, Artogne
