titles,type,google_ratings,google_reviews,google_price,locations,città,lng,lat,data_source
Ristoro Paso',·  · Ristorante,"4,2",(636),€€,Via Palabione,aprica,10.15206343,46.15334799,google
Boomerang Cafe,·  · Bar,"4,2",(106),€€,"Corso Roma, 97",aprica,10.15206343,46.15334799,google
Grizzly Bar,·  · Bar,"4,7",(287),€€,"Via Adamello, 6",aprica,10.15206343,46.15334799,google
Bar Italia,· Bar,"4,4",(22),price not available,"Corso Roma, 146",aprica,10.15206343,46.15334799,google
Macelleria E Gastronomia,· Negozio di alimentari,"5,0",(1),price not available,"Corso Roma, 118",aprica,10.15206343,46.15334799,google
Penak Burger,· Ristorante,"4,1",(108),price not available,"Corso Roma, 198",aprica,10.15206343,46.15334799,google
Ristorante Piscè,·  · Ristorante,"4,4",(185),€,Villa di tirano SO,aprica,10.15206343,46.15334799,google
"Baita ""Le lische""",·  · Ristorante,"4,3",(239),€€,Località Lische,aprica,10.15206343,46.15334799,google
Loft Cafe Aprica,· Bar,"4,6",(94),price not available,"Via Europa, 144",aprica,10.15206343,46.15334799,google
La Quercia Antica,· Ristorante,"4,3",(67),price not available,Tirano SO,aprica,10.15206343,46.15334799,google
Bar Ca'Disi,·  · Bar,"4,2",(643),€€,"Corso Roma, 215",aprica,10.15206343,46.15334799,google
Hotel Club Funivia,· Ristorante,"4,3",(294),price not available,"Piazza Baradello, 2",aprica,10.15206343,46.15334799,google
